809,А. И. Танатова,женский,1987,2021,Отдел продаж,Руководитель,177208.0,41
1265,К. А. Милюнова,женский,1977,2012,Отдел закупок,Младший сотрудник,22667.0,6
805,Л. Э. Жеманова,женский,1988,2013,Отдел закупок,Стажер,10441.0,1
1268,Е. Р. Пильтяева,женский,1991,2016,Сервис,Младший сотрудник,23063.0,8
1212,В. Б. Талпекина,женский,1990,2017,Сервис,Стажер,17578.0,0
1384,Г. Д. Синтемова,женский,1979,2012,Сервис,Специалист,36090.0,20
72,Е. И. Леканов,мужской,1975,2010,Отдел закупок,Руководитель,193190.0,42
960,А. Н. Степчкова,женский,1977,2011,Отдел продаж,Младший сотрудник,23092.0,5
1090,О. Б. Кулдаева,женский,1989,2019,Отдел закупок,Специалист,46599.0,11
1296,А. В. Батырбаева,женский,1984,2014,Отдел маркетинга,Стажер,19815.0,1
765,А. А. Дербышов,мужской,1965,2014,Отдел закупок,Младший сотрудник,27893.0,9
188,Д. В. Казюрин,мужской,1977,2011,Отдел закупок,Руководитель,120839.0,44
98,Я. П. Мижевский,мужской,1996,2010,Сервис,Руководитель,132372.0,45
354,Г. К. Разроев,мужской,1966,2019,Отдел маркетинга,Младший сотрудник,27724.0,7
881,Л. Р. Батосова,женский,1979,2019,Сервис,Стажер,14309.0,3
88,А. Ф. Швайченков,мужской,1988,2021,Отдел маркетинга,Специалист,35438.0,11
751,Е. Г. Максимычев,мужской,1980,2018,Сервис,Специалист,34900.0,18
401,А. М. Бишменов,мужской,1996,2011,Отдел закупок,Специалист,41783.0,21
941,В. Д. Хаханкина,женский,1994,2010,Отдел закупок,Руководитель,140028.0,41
1213,М. Б. Шемберова,женский,1979,2021,Сервис,Руководитель,115320.0,44
558,Б. В. Урмацких,мужской,1975,2021,Отдел продаж,Стажер,13779.0,0
469,О. М. Шамонаев,мужской,1983,2018,Отдел продаж,Младший сотрудник,24564.0,9
320,Ю. Ю. Потапкин,мужской,1969,2016,Сервис,Специалист,38165.0,27
